rank,path,views,active_users,views_per_active_user,avg_engagement_seconds,event_count,key_events,revenue_eur
1,/travel-guides/7-eleven-thailand/,244,179,1.36,7,677,0,0
2,/travel-guides/sim-card-thailand/,113,80,1.41,14,292,0,0
3,/visa/retirement-visa/,108,69,1.57,35,282,0,0
4,/,69,61,1.13,3,189,0,0
5,/blog/thai-curry-guide-green-red-yellow-massaman-panang/,66,45,1.47,24,177,0,0
6,/blog/jodd-fairs-bangkok-night-market-guide/,60,43,1.40,5,168,0,0
7,/blog/chatuchak-weekend-market-food-guide/,48,29,1.66,7,116,0,0
8,/blog/thai-massage-guide-types-prices/,44,34,1.29,12,119,0,0
9,/drinks/,43,28,1.54,8,96,0,0
10,/blog/durian-season-thailand-2026-where-to-eat-buy-guide/,37,24,1.54,3,108,0,0
11,/blog/el-nino-2026-thailand-weather-heatwave-travel-tips/,37,25,1.48,10,96,0,0
12,/blog/bangkok-lumpini-hawker-centre-street-food-2026/,33,20,1.65,0,80,0,0
13,/nightlife/,33,26,1.27,42,102,0,0
14,/esim/,32,17,1.88,76,53,0,0
15,/blog/best-sim-card-esim-thailand-tourist-guide-2026/,31,21,1.48,11,87,0,0
16,/blog/new-luxury-resorts-thailand-2026-marriott-hilton-mercure/,27,16,1.69,7,71,0,0
17,/blog/bangkok-specialty-coffee-cafe-guide-2026/,26,20,1.30,0,67,0,0
18,/practical-info/etiquette-culture/,26,18,1.44,10,67,0,0
19,/blog/thailand-digital-arrival-card-tdac-guide/,24,20,1.20,8,70,0,0
20,/blog/cave-fantasy-mbk-center-bangkok-immersive-art-2026/,23,18,1.28,1,62,0,0
21,/blog/muay-thai-training-camps-thailand-beginners-guide-2026/,23,17,1.35,10,62,0,0
22,/blog/ban-krut-beach-guide-hidden-gem-prachuap-2026/,22,16,1.38,14,67,0,0
23,/blog/harbor-island-bangkok-rooftop-waterpark-2026/,22,14,1.57,7,59,0,0
24,/nightlife/pattaya/,22,18,1.22,0,54,0,0
25,/nl/blog/el-nino-2026-thailand-weather-heatwave-travel-tips/,22,14,1.57,24,60,0,0
